"trial","ref_position","var_area","response","correct","rt"
1,"L",10.5788593092002,"R",TRUE,1.62700009346008
2,"R",8.14429306192324,"L",FALSE,1.19999980926514
3,"L",13.7129343554843,"R",TRUE,0.901999950408936
4,"L",8.33961191633716,"R",FALSE,1.20900011062622
