"trial","ref_position","var_area","response","correct","rt"
1,"L",13.2881171579938,"R",TRUE,1.89599990844727
2,"L",14.3542651378084,"R",TRUE,1.09299993515015
3,"L",8.12779572419822,"L",TRUE,1.39199995994568
4,"R",12.7551613883115,"L",TRUE,0.793999910354614
5,"R",10.1121689321008,"L",TRUE,1.39499998092651
6,"L",14.4701389139518,"R",TRUE,0.993000030517578
7,"R",10.0433411630802,"L",TRUE,1.69300007820129
8,"L",9.69467770843767,"R",TRUE,0.89300012588501
9,"R",13.9417476679664,"L",TRUE,0.898000001907349
